Longitude,Latitude,Elevation Meters
4.175256,51.975398,2
4.175906,51.975124,2
4.175368,51.974563,2
4.17517,51.974306,2
4.174945,51.974147,2
4.174852,51.974025,3
4.175042,51.974002,3
4.175486,51.973996,2
4.175885,51.973984,2
4.176326,51.97391,2
4.176893,51.9737,3
4.177477,51.973412,2
4.177725,51.973661,2
4.177885,51.973749,2
4.178235,51.973807,2
4.178569,51.973812,2
4.178815,51.973822,2
4.179121,51.973813,2
4.179287,51.973788,2
4.179843,51.973541,2
4.180283,51.973395,3
4.180496,51.973354,2
4.180675,51.973372,2
4.18094,51.973443,2
4.181815,51.973167,2
4.182043,51.973103,2
4.182136,51.973053,2
4.182088,51.972939,2
4.1818,51.972683,2
4.181659,51.972553,2
4.181457,51.972348,2
4.18142,51.972133,2
4.181609,51.972081,2
4.181784,51.972021,2
4.182062,51.971937,2
4.182324,51.971868,2
4.182558,51.971786,2
4.182686,51.971742,2
4.18287,51.971703,2
4.183147,51.971624,2
4.181587,51.970109,2
4.181272,51.969794,2
4.181396,51.969745,2
4.181105,51.969487,1
4.181915,51.969175,1
4.182084,51.969113,1
4.182973,51.968745,1
4.183849,51.968387,1
4.185318,51.967801,1
4.186776,51.967197,1
4.187764,51.966803,1
4.187936,51.9668,1
4.188138,51.96677,1
4.188197,51.966719,2
4.188288,51.966661,2
4.188356,51.966617,2
4.188486,51.966571,2
4.188676,51.966526,1
4.189076,51.966516,1
4.189319,51.966512,1
4.189517,51.966481,1
4.189636,51.966445,1
4.189776,51.966377,1
4.189884,51.966303,1
4.190011,51.96619,1
4.190125,51.966111,1
4.190213,51.966096,1
4.19038,51.9661,1
4.190755,51.965974,1
4.19082,51.965948,1
4.190825,51.965883,1
4.19077,51.965838,1
4.190758,51.965771,1
4.19084,51.965671,2
4.190878,51.965621,2
4.1909,51.965547,2
4.190737,51.965531,2
4.190548,51.965501,1
4.189242,51.96502,1
4.189095,51.964956,1
4.188954,51.964879,2
4.18693,51.963358,1
4.186669,51.96293,2
4.186481,51.962787,3
4.186468,51.962678,3
4.186692,51.962361,3
4.187068,51.96212,1
4.187804,51.961068,1
4.188272,51.960406,1
4.187355,51.960184,1
4.18708,51.960098,1
4.186915,51.960025,1
4.183208,51.958198,1
4.182394,51.958632,1
4.181346,51.95919,2
4.181147,51.959031,2
4.180961,51.958901,2
4.180888,51.95885,2
4.180099,51.958231,3
4.178787,51.957252,3
4.176913,51.955846,4
4.176809,51.95573,3
4.176762,51.955676,3
4.176631,51.955496,3
4.176209,51.955063,3
4.176074,51.954915,3
4.175638,51.954344,3
4.175489,51.954188,4
4.175315,51.954044,4
4.174903,51.953722,5
4.174655,51.953524,5
4.174531,51.953433,4
4.17442,51.95338,4
4.174311,51.953359,4
4.174192,51.953382,4
4.173839,51.953575,4
4.173766,51.953597,4
4.173617,51.953599,3
4.173151,51.953236,2
4.173145,51.953178,2
4.173886,51.952783,3
4.175561,51.951953,3
4.177527,51.950983,3
4.180023,51.949773,3
4.182119,51.948746,3
4.184579,51.947529,3
4.186869,51.946492,3
4.188501,51.945765,3
4.18923,51.94544,3
4.191832,51.944371,3
4.193943,51.943531,3
4.196696,51.942516,3
4.197983,51.94207,3
4.201023,51.941012,3
4.202491,51.940479,3
4.2035,51.9401,2
4.204051,51.939935,3
4.206322,51.939163,3
4.208564,51.938375,3
4.21058,51.937671,3
4.21068,51.937736,4
4.210822,51.937803,4
4.210849,51.937879,4
4.210931,51.937945,4
4.21107,51.937991,4
4.211257,51.937989,5
4.212089,51.937744,6
4.213028,51.937462,6
4.214835,51.936927,4
4.215045,51.936849,4
4.215233,51.936856,5
4.215319,51.936908,4
4.215383,51.936973,4
4.215489,51.937083,3
4.215533,51.937133,3
4.21559,51.937229,2
4.215662,51.937316,2
4.215857,51.937553,2
4.215919,51.937625,1
4.216783,51.93863,1
4.2178,51.9398,1
4.217937,51.939947,1
4.218273,51.940311,2
4.219176,51.941287,2
4.219367,51.94135,2
4.219413,51.941314,2
4.21955,51.941307,2
4.21988,51.941344,2
4.220012,51.9414,2
4.221539,51.942585,1
4.221659,51.942596,1
4.222149,51.942374,1
4.222418,51.942232,1
4.222531,51.942169,1
4.222828,51.942009,1
4.222957,51.941946,1
4.223112,51.941907,1
4.223573,51.941811,1
4.223794,51.941735,1
4.223962,51.941661,1
4.224046,51.941623,1
4.224106,51.941716,1
4.224314,51.941683,1
4.224525,51.941657,1
4.224802,51.941578,1
4.224911,51.941555,1
4.22503,51.941556,1
4.225117,51.941589,1
4.225197,51.941642,1
4.225649,51.941992,1
4.22587,51.942167,1
4.225986,51.942255,1
4.226091,51.942339,1
4.226195,51.942419,1
4.226285,51.942502,1
4.226517,51.942388,1
4.226606,51.94211,1
4.226629,51.942045,1
4.226644,51.941992,1
4.227,51.942024,1
4.227227,51.942092,1
4.22745,51.942255,1
